Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7427,164,false,0,8,0,40,0,40,0,40,0,BC
7427,174,false,0,8,0,40,0,0,0,0,0,DC
7428,1E4,false,0,8,11,3B,0,0,0,0,0,7A
7428,224,false,0,8,0,0,0,0,0,0,0,0
7428,125,false,0,8,C2,4E,C1,4E,C1,4E,0,4
7428,135,false,0,8,C0,4E,C2,4E,C1,4E,0,1E
7429,145,false,0,8,C1,4E,C0,4E,0,40,0,D
7429,155,false,0,8,0,40,0,40,0,40,0,FB
7429,165,false,0,8,0,40,0,40,0,40,0,D9
7429,175,false,0,8,0,40,0,0,0,0,0,B9
7430,1E5,false,0,8,13,3B,0,0,0,0,0,A5
7430,225,false,0,8,0,0,0,0,0,0,0,0
7430,126,false,0,8,C3,4E,C1,4E,C2,4E,0,7A
7431,136,false,0,8,C1,4E,C1,4E,C2,4E,0,DE
7431,146,false,0,8,C3,4E,C2,4E,0,40,0,CC
7431,156,false,0,8,0,40,0,40,0,40,0,54
7431,166,false,0,8,0,40,0,40,0,40,0,76
7432,176,false,0,8,0,40,0,0,0,0,0,16
7432,1E6,false,0,8,10,3B,0,0,0,0,0,ED
7432,226,false,0,8,0,0,0,0,0,0,0,0
7432,127,false,0,8,C1,4E,C3,4E,C1,4E,0,FD
7433,137,false,0,8,C3,4E,C2,4E,C2,4E,0,BF
7433,147,false,0,8,C2,4E,C3,4E,0,40,0,9E
7433,157,false,0,8,0,40,0,40,0,40,0,31
7433,167,false,0,8,0,40,0,40,0,40,0,13
7434,177,false,0,8,0,40,0,0,0,0,0,73
7434,1E7,false,0,8,1A,3B,0,0,0,0,0,E0
7434,227,false,0,8,0,0,0,0,0,0,0,0
7434,128,false,0,8,C2,4E,C2,4E,C2,4E,0,D5
7434,138,false,0,8,C2,4E,C2,4E,C1,4E,0,47
7435,148,false,0,8,C2,4E,C1,4E,0,40,0,63
7435,158,false,0,8,0,40,0,40,0,40,0,18
7435,168,false,0,8,0,40,0,40,0,40,0,3A
7435,178,false,0,8,0,40,0,0,0,0,0,5A
7436,1D0,false,0,8,22,99,29,22,22,22,99,99
7436,1E8,false,0,8,C,3B,0,0,0,0,0,A3
7436,228,false,0,8,0,0,0,0,0,0,0,0
7436,100,false,0,8,0,0,0,10,0,0,20,FD
7437,129,false,0,8,C1,4E,C1,4E,C1,4E,0,65
7437,139,false,0,8,C0,4E,C2,4E,C3,4E,0,9B
7437,149,false,0,8,C0,4E,C2,4E,0,40,0,2
7437,159,false,0,8,0,40,0,40,0,40,0,7D
7438,101,false,0,8,0,0,0,10,0,0,20,98
7438,169,false,0,8,0,40,0,40,0,40,0,5F
7438,179,false,0,8,0,40,0,0,0,0,0,3F
7438,1D1,false,0,8,22,99,29,22,22,22,99,99
7439,102,false,0,8,0,0,0,10,0,0,20,37
7439,1E9,false,0,8,11,3B,0,0,0,0,0,99
7439,229,false,0,8,0,0,0,0,0,0,0,0
7439,12A,false,0,8,C2,4E,C1,4E,C2,4E,0,A1
7440,13A,false,0,8,C1,4E,C2,4E,C0,4E,0,E5
7440,103,false,0,8,0,0,0,10,0,0,20,52
7440,14A,false,0,8,C1,4E,C1,4E,0,40,0,4E
7440,15A,false,0,8,0,40,0,40,0,40,0,D2
7441,104,false,0,8,0,0,0,10,0,0,20,74
7441,16A,false,0,8,0,40,0,40,0,40,0,F0
7441,17A,false,0,8,0,40,0,0,0,0,0,90
7441,1D2,false,0,8,22,99,29,22,22,22,99,99
7441,105,false,0,8,0,0,0,10,0,0,20,11
7442,1EA,false,0,8,1A,3B,0,0,0,0,0,3
7442,22A,false,0,8,0,0,0,0,0,0,0,0
7442,12B,false,0,8,C2,4E,C2,4E,C2,4E,0,7A
7442,13B,false,0,8,C3,4E,C2,4E,C2,4E,0,39
7443,106,false,0,8,0,0,0,10,0,0,20,BE
7443,14B,false,0,8,C2,4E,C3,4E,0,40,0,18
7443,15B,false,0,8,0,40,0,40,0,40,0,B7
7443,16B,false,0,8,0,40,0,40,0,40,0,95
7444,107,false,0,8,0,0,0,10,0,0,20,DB
7444,17B,false,0,8,0,40,0,0,0,0,0,F5
7444,1D3,false,0,8,22,99,29,22,22,22,99,99
7444,1EB,false,0,8,1A,3B,0,0,0,0,0,66
7445,108,false,0,8,0,0,0,10,0,0,20,F2
7445,22B,false,0,8,0,0,0,0,0,0,0,0
7445,109,false,0,8,0,0,0,10,0,0,20,97
7445,1D4,false,0,8,22,99,29,22,22,22,99,99
7446,10A,false,0,8,0,0,0,10,0,0,20,38
7446,1D5,false,0,8,22,99,29,22,22,22,99,99
7447,10B,false,0,8,0,0,0,10,0,0,20,5D
7447,1D6,false,0,8,22,99,29,22,22,22,99,99
7448,1D7,false,0,8,22,99,29,22,22,22,99,99
7449,1D8,false,0,8,22,99,29,22,22,22,99,99
7450,1D9,false,0,8,22,99,29,22,22,22,99,99
7451,1DA,false,0,8,22,99,29,22,22,22,99,99
7452,1DB,false,0,8,22,99,29,22,22,22,99,99
7469,1C0,false,0,8,22,11,92,22,22,22,42,22
7470,1C1,false,0,8,22,11,92,22,22,22,42,22
7471,1C2,false,0,8,22,11,92,22,22,22,42,22
7472,1C3,false,0,8,22,11,92,22,22,22,42,22
7473,1C4,false,0,8,22,11,92,22,22,22,42,22
7474,1C5,false,0,8,22,11,92,22,22,22,42,22
7475,1C6,false,0,8,22,11,92,22,22,22,42,22
7476,1C7,false,0,8,22,11,92,22,22,22,42,22
7477,1C8,false,0,8,22,11,92,22,22,22,42,22
7478,1C9,false,0,8,22,11,92,22,22,22,42,22
7479,1CA,false,0,8,22,11,92,22,22,22,42,22
7480,1CB,false,0,8,22,11,92,22,22,22,42,22
7483,200,false,0,8,0,0,40,51,3B,0,C,0
7484,201,false,0,8,0,0,40,3C,36,0,0,0
7485,202,false,0,8,0,0,40,3D,37,0,0,0
7486,100,false,0,8,0,0,0,0,0,0,30,15
7487,203,false,0,8,0,0,40,38,36,0,0,0
7487,101,false,0,8,0,0,0,0,0,0,30,70
7488,204,false,0,8,0,0,40,35,35,0,0,0
7488,102,false,0,8,0,0,0,0,0,0,30,DF
7489,205,false,0,8,0,0,40,40,36,0,0,0
7489,103,false,0,8,0,0,0,0,0,0,30,BA
7490,206,false,0,8,0,0,40,3F,36,0,0,0
7491,104,false,0,8,0,0,0,0,0,0,30,9C
7491,207,false,0,8,0,0,40,35,36,0,0,0
7491,105,false,0,8,0,0,0,0,0,0,30,F9
7492,208,false,0,8,0,0,40,34,36,0,0,0
7492,106,false,0,8,0,0,0,0,0,0,30,56
7493,209,false,0,8,0,0,40,3F,36,0,0,0
7493,107,false,0,8,0,0,0,0,0,0,30,33
7494,20A,false,0,8,0,0,40,40,36,0,0,0
7494,108,false,0,8,0,0,0,0,0,0,30,1A
7495,20B,false,0,8,0,0,40,3B,37,0,0,0
7495,109,false,0,8,0,0,0,0,0,0,30,7F
7496,10A,false,0,8,0,0,0,0,0,0,30,D0
7498,10B,false,0,8,0,0,0,0,0,0,30,B5
7502,220,false,0,8,0,0,0,0,0,0,0,0
7503,221,false,0,8,0,0,0,0,0,0,0,0
7504,222,false,0,8,0,0,0,0,0,0,0,0
